"","Compound","CR_1(raw)","CR_10(raw)","CR_100(raw)","CR_101(raw)","CR_103(raw)","CR_104(raw)","CR_105(raw)","CR_11(raw)","CR_18(raw)","CR_19(raw)","CR_20(raw)","CR_22(raw)","CR_23(raw)","CR_27(raw)","CR_28(raw)","CR_3(raw)","CR_32(raw)","CR_35(raw)","CR_36(raw)","CR_37(raw)","CR_38(raw)","CR_4(raw)","CR_40(raw)","CR_41(raw)","CR_42(raw)","CR_44(raw)","CR_49(raw)","CR_5(raw)","CR_51(raw)","CR_53(raw)","CR_57(raw)","CR_59(raw)","CR_6(raw)","CR_64(raw)","CR_65(raw)","CR_7(raw)","CR_83(raw)","CR_85(raw)","CR_87(raw)","CR_91(raw)","CR_92(raw)","CR_93(raw)","CR_95(raw)","CR_99(raw)","NR_106(raw)","NR_111(raw)","NR_112(raw)","NR_12(raw)","NR_13(raw)","NR_14(raw)","NR_15(raw)","NR_16(raw)","NR_17(raw)","NR_2(raw)","NR_21(raw)","NR_25(raw)","NR_30(raw)","NR_31(raw)","NR_33(raw)","NR_34(raw)","NR_39(raw)","NR_43(raw)","NR_46(raw)","NR_47(raw)","NR_48(raw)","NR_50(raw)","NR_55(raw)","NR_56(raw)","NR_63(raw)","NR_66(raw)","NR_68(raw)","NR_69(raw)","NR_70(raw)","NR_8(raw)","NR_9(raw)","NR_96(raw)","NR_CR_24(raw)","NR_CR_26(raw)","NR_CR_29(raw)","NR_CR_45(raw)"
"1","166.06638@0.22200784",712839,446102,869238,1031934,400467,680915,NA,108348,1270385,507018,388814,342175,462038,361337,343050,357949,759183,552106,529282,547215,296256,498316,NA,189780,673361,667179,NA,NA,NA,271844,541693,633326,595214,602342,666682,432836,574973,620958,854328,749088,335522,467252,657984,NA,302604,431318,402228,503057,836989,689206,215749,NA,330020,203876,606287.756098967,474533.868488197,767941,585506,NA,997538,424273,655770,433186,729214,731414,479248,684091,NA,377609,496730,589053,451401,292360,426387,387088,NA,749730,563147.115994304,593696,NA
"2","133.1096@0.22253737",1267598,1972592,3106185,1679287,1011593,1669755,1292592,396585,3586307,1522777,1129686,738008,1463032,NA,968585,389521,2992581,2008506,2742431,1269138,NA,985575,651697,317511,1270949,795138,1630920,641587,2072063,427350,1636135,NA,2583175,1860290,1981276,NA,2168957,815899,NA,2959412,1474596,1574984,2125163,3143336,459493,655173,1080702,NA,NA,1528368,412136,1168593,1318806,450221,796749,491609,3515875,1795238,NA,4720867,1322648,3654193,1026032,2798083,3376700,918950,1455650,1161966,811249,1470597,1141804.3853585,723747,528386,1318325,734105,867967,2341244,413077,NA,1564173
"3","139.0611@0.2228595",717822,532980,535773,616284.72794469,741402,637401,NA,1020563,714322,446364.881977362,952635,1119384,NA,391334,571792.590666377,67732,520811,476556,806089,464049,615624,366146,500540.71561786,847280,533852,400361,426434,660005.248841968,553685,533236,567276,555517,500595,504580,907339,508121.137916183,457634,525960,340627,455329,778242,603265,565022,348204,880037,1427286,636358,270232,1112510,808561,597263,411130.155189629,113145,545789,377570,545963,NA,NA,289219,668296,593248,598051.388755925,662322,291203,391225,385027,1070615,902614,404429,893073,NA,608502,766208,585491,211148,715798.93183333,434348,348567,326988,437654
"4","218.0185@0.23050863",307085.682259229,279817,367902,403056,471287,415178,329414.05321448,342497,347767,306412,318785,289844,NA,269502,282325,NA,334679,343704,417007,372303,410744,NA,342365,NA,364502,285989,305192,230703,344596,NA,298983,365687,330852,382854,411653,313028,223658,341899,362473,348292,392470,520610,365918,332209,326341,380621,325307,365484.754015344,363194.967900147,345997.540950149,377222,326433.340935632,279693,329793,224063,383705,307369,292937,392447,NA,300835,296905,322790,465370,342252,303650,402170,462638,300277,508948,318532,442047,369115,NA,171733,NA,NA,282351,NA,363210
"5","382.1079@0.23594072",291771,NA,NA,122563,212032,153476,260460,143562,175848,106752,112834,169958.338217758,166120,159684,88848,63573,NA,94347,233558,182397,NA,236979,147292,106865,141160,93400,106845,707268,163394.465797587,283034,125158,259990,108991,203726,283252,103282,144091,105898,NA,115259,117015,251032,166417,112438,117361,NA,197926.806891323,157949.693375579,273529,287644,194447,146149.905574555,85917,142830,222968.015197181,174108,105599,113303,131881,175364,126831,107729,146896,NA,143614,86867,238576,NA,79117,353701,121782,265406,176582,137511,186684.507907825,152997,79329,91823,134022,209426
"6","161.10287@0.2375385",10209396,9204029,8046983,11687837,9640120,5238836,14921890,4940270,4529485,5583494,NA,5587236,7306548,6752749,7327840,6870423,1179834,8338907,7898657,3463508,7425941,7816013,4362309,7947484,6332787,8334747,3724540,2155118,9180793,12603472,NA,8123675,8945685,6775676,12515476,7564615,15345702,7477592,7804842,16003053,8585408,10677595,NA,9886486.85295927,NA,4703540,13119592,8406738,NA,11372133,12391726,8851863.84323458,NA,7872616,3678880,13858726,9282283,4994687,6404432,8543823,5786446,13586554,8404298,9683774,8416127,17823726,11680464,13708778,7175528,10134413,13340088,10007696,12067515,8453527,NA,5446801,10912684,10066834,9763060,15377184
"7","202.04366@0.238623",NA,1889158,1940378,NA,2789761,1634058,NA,1813460,2099703,1568891,1784090,1672534,2323951,1979512,1706730.72301146,1266121,461114,1397551,2724473,2400427,2811287,2728022,2191655.61780264,1588936,1653402,1976470.03323601,1816542,1974979.13660642,2156015,3421645,1852343,3014190,NA,2597822,2937983,1089447,534573,1576149,1149565,NA,1884220,3002968,NA,NA,1703660,2825965,1845050,2014556.75484845,3290923,1048744,2283132,52677,1423850,2088709,1024710,1758633,1792216.91103719,1855955,1994649.09242318,NA,1729495,1446814,2058181,2489212,1579795,1405794,2733493,3728894,1374357,3436792,1914196,2967883,2391461,1794376.9723665,2436944.12080901,2220760,1631233,1467434,1707240,2386276
"8","117.07691@0.24014165",5688696,4306627,4484331,4301034,5820840,NA,3569466,6569491,5777889,1845239,4857576,8232796,7053195,3012128,8392105,NA,2890790,3508908,6881640,NA,5016698,2813080,7745457,5671847,3943137,2531533,2788962,3572321,4362328,3924979,3252259,4365320,NA,4573527,7757748,NA,5476150.03479529,6267288,2794831,5281137,5651245.46022025,3605573,4743129,NA,6249811,12305577,6562651,2251127,12279045,6008918,4560225,2392336,2954325,3973300,2851599,3908511,3032318,1968900,1541969,4444519,5006415,3037975,5418874,1619222,2362490,3672383,9002346,7179479,3309945,5608818,4709528,4470044,7199418,7670763,1232268,4246853,4164898,2157986,2127742,3380492
"9","203.11398@0.24357599",NA,6303300,4721473.62182578,4917850,4097972,6204544,2034388,1579657,3155763,10860198,3124063,4054128,5673900,NA,6108261,5380760,4994776.78629061,1492502,3722929,5187665,4071119,6341680.33536721,4205630,NA,2576738,11039347,NA,4695507.11697674,9739332,5316827,5709085,3414607,7668478,2705318,NA,10188213,2640261,4226919,5018218,5435001,4942710,6156472,3853298,8007096,2750673,4590763,5289477,5502013,4905976,NA,NA,10012575,6541466.75259827,3193845,6196396.50993186,NA,NA,21374002,6792402,3804593,4597976,NA,6449076,7753750,2460690,8187046,3611043,7238283,3266051,7561230,6917240,5666236,7781044,NA,5102531,5248699,3356548,4396497,2929038,5091557
"10","257.9725@0.24815843",NA,52203,81643,94451,360979.875552461,60203,67159.6657345224,65975,48710,69351,82074,62047,40874,74107.5136565284,64804.6019513452,28855,19475,67663,NA,322816.845086731,90643,42110,87285,311281.077377488,52803,38257,83243,NA,NA,77313,59902,33724,NA,376748.018281267,50178,87420,91508,343493.046840319,64979.4151708224,57923,90171,47004,387598.064022159,254160.653162236,229353.594033277,NA,NA,NA,71290.5442445241,NA,29261,73983.2793063886,64267.1775599689,63261,30828,70793.9665011938,91007,77574,67957,NA,66844.7236391263,49297,58141,73354,52404,32037,44904,101000,209235.820211776,45711,63311.5302907602,64362.6926566803,58542,74791.8828307254,68201.0485211249,13256,214332.287539918,346769.941027601,80288,203429.496383039
