"","Compound","EA_138_P(raw)","EA_171_P(raw)","EA_182_P(raw)","EA_263_P(raw)","EA_287_P(raw)","EA_39_P(raw)","EA_452_P(raw)","EA_53_P(raw)","EA_535_P(raw)","EA_548_P(raw)","EA_573_P(raw)","EA_579_P(raw)","EA_591_P(raw)","EA_617_P(raw)","EA_62_P(raw)","EA_629_P(raw)","EA_630_P(raw)","EA_65_P(raw)","EA_740_P(raw)","EA_79_P(raw)","EA_90_P(raw)","EA_965_P(raw)","EA_966_P(raw)","EA_994_P(raw)","EA_138_P_2(raw)","EA_171_P_2(raw)","EA_182_P_2(raw)","EA_263_P_2(raw)","EA_287_P_2(raw)","EA_39_P_2(raw)","EA_452_P_2(raw)","EA_53_P_2(raw)","EA_535_P_2(raw)","EA_548_P_2(raw)","EA_573_P_2(raw)","EA_579_P_2(raw)","EA_591_P_2(raw)","EA_617_P_2(raw)","EA_62_P_2(raw)","EA_629_P_2(raw)","EA_630_P_2(raw)","EA_65_P_2(raw)","EA_740_P_2(raw)","EA_79_P_2(raw)","EA_90_P_2(raw)","EA_965_P_2(raw)","EA_966_P_2(raw)","EA_994_P_2(raw)"
"1","688.551@8.849","205463","211598","168435","128104","177088","175649",NA,"151801",NA,"156163","133314","137154","113027","117472","167249","123326","207002","96158","212975","201387","196236","155409","191084","116373","160527","139242","110120","180687","146134","99552","161721","109846","210290","207467","134653","143501","185449","130640","198922","136261","212738",NA,"194153","182853","130590","164814","134878","219669"
"2","270.2183@7.0960035",NA,"4585","NaN","10214","13281","7477","25620","6756","3012","4879","5236","4294","6389","3441","1765","NaN","12914","4020",NA,"NaN","6122","3302","NaN","7578","21077","4528","2123","6945","NaN","7667","7401","10245","NaN","9209","5134","7105","4575","NaN","8210","3949",NA,"9061","7137","NaN","3983",NA,"NaN","7894"
"3","911.5274@9.607987","27065","25282","32850","28022","30486","21254",NA,"17942","28116","25134","49795","31986","40556","31032","24746","25879",NA,"27966","25861","36963","29676","29808","30009",NA,"33441","22944","17602","26967","27325","35040","29780","27173","41682","32390","35073","31298","19955","28213","24924",NA,"49509","24208","26416","30052","19300",NA,"63654",NA
"4","948.4256@8.882997","47514","40330","24171","22908","12876","39375",NA,"23673","40801","37126","35793","37456","23489","21467",NA,"25358","22012","41995","26963",NA,"25328","39121","41379","25646","25963","39036","32661",NA,"40204",NA,"34743","26486","42765","19705","42694","39464","27030","39079","36138","21819","23368","41805","26079","20666","39589","37045","26636","37384"
"5","653.3911@6.1870055","7450","10490","11340","8852","11426","7025","11987","11156","12531","17064","11602","14020","23245",NA,"11148","17588","16907",NA,"9803","12026","8122","11246",NA,NA,"16990","18214","11997","9887",NA,"10170","9245","9536",NA,"11285","5097","8777",NA,"8547","18712","12450","15716","22130","4912","15890","15321","5706","8011","8972"
"6","832.546@9.018004",NA,"75208","63788","64107","46045","34143","46470","26976","73738","39413","36574","42131","50596","44897","54157","30498","80233","30917","40200","83633","36720","34800","52054","52216","39383",NA,"37005","82074","28941","32599",NA,"34965","49013","33758","36145","21740","47464","63633","32480","42174",NA,"48143",NA,"35740","44125","41595","40468","45419"
"7","927.4927@9.283007","67740","74242","76817","129923","56942","33603","30660",NA,"53408","56716","91992","36165","82872","80877","103545","45894","70286",NA,"62672","52695","82225","63331","60544","74992","58101","41450","56743","90985",NA,"85116","26684","52506","78765","95242","83907","51887","116723","58197",NA,"58709","70424","25571",NA,"62935","95873","160952","80040","60327"
"8","332.2455@4.623995","66445","48863",NA,"22045","27208","21976","20023",NA,"18640","30948","34868",NA,"16210","23201","52144","19316","25423","30796",NA,"45712","27739",NA,"20505","16506","39790","15571","27353","23339","9321","21883","30813","19087",NA,"21839","34950","29307","29919","27016","22634","21493","17722","24270","23773","42749","15880","29639","17197",NA
"9","959.4836@8.067994","116867","210229","123990","124951",NA,NA,"105812","115993","108793",NA,"124855","155890","196367","100208","119299","127125","129276","74901","106930","119570",NA,"132704","122074","122283",NA,"129916","113776","139128","119597","235193","108585","70853","110112","123725","66110","123561","87987","94530","141382","115366","139425","240089","82854","122266","140872","153260",NA,"83264"
"10","443.0969@7.5989995","25078",NA,"10692","35680","13288","11049","14591",NA,"4467","7878","6667","13851",NA,"15244","8999","10680",NA,"10361","9858","14296","7202","7987","25015","12539","22286","5681","15716","24065","19842","23790","8438",NA,"8565","8413","15392","17584",NA,"30277","5141","9940",NA,NA,"13217","7718",NA,"16696","34522","12984"
