# Notes : Entity List : FF 80percent QC blank extracted 
#Interpretation : K_PEX
#Experiment : AH_PoroshellC18_negative
#Flag Value: [Present]
#Entities where at least 80.0 percent of samples in any 1 out of 2 conditions have flags in [Present]
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_negative_2017_Aug_09_11_35_19
# Owner : gxuser
# Created On : Fri May 18 16:08:22 CEST 2018
Compound	Number Passed	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
409.86783@0.8144999	2	26778.0	41099.0	34939.0	32370.0	25505.0	27977.0	23446.0	38055.0	34620.0	32403.0	1.0	29886.0	22457.0	25680.0	23528.0	26206.0	27612.0	23292.0	40602.0	43369.0	40121.0	36939.0	37717.0	39509.0	20571.0	34853.0	36956.0	39389.0	39846.0	37728.0	38890.0	26769.0	1.0	27102.0	24892.0	22562.0	27831.0	25879.0	26180.0	26675.0	26601.0	24169.0	24444.0	22172.0
295.88696@0.8155156	2	166779.0	214882.0	203788.0	161943.0	154760.0	132554.0	133895.0	191451.0	209280.0	184198.0	90397.0	175781.0	165304.0	170305.0	151988.0	171865.0	174064.0	176245.0	197164.0	207535.0	221183.0	234022.0	223851.0	222132.0	135756.0	230961.0	194272.0	225353.0	209026.0	189171.0	225493.0	165443.0	154421.0	164163.0	160817.0	155283.0	177884.0	156682.0	171765.0	171403.0	172491.0	115801.0	158167.0	138772.0
263.93832@0.81720656	2	78270.0	57916.0	92706.0	71943.0	57349.0	44491.0	62291.0	82682.0	89873.0	53988.0	90852.0	69675.0	76683.0	76306.0	52025.0	52648.0	63613.0	51875.0	44290.0	112855.0	97946.0	74950.0	70615.0	62875.0	21043.0	63059.0	58930.0	51953.0	40216.0	101495.0	58823.0	56558.0	47960.0	1.0	62543.0	34940.0	53686.0	36227.0	38049.0	35200.0	39027.0	39894.0	42338.0	31673.0
565.82935@0.8301381	2	21817.0	23302.0	14540.0	19151.0	25356.0	21655.0	20274.0	13517.0	17549.0	22673.0	23472.0	1.0	19268.0	1.0	24939.0	21304.0	19941.0	26324.0	36882.0	1.0	13660.0	22474.0	20738.0	21894.0	35729.0	19865.0	17051.0	24584.0	31607.0	13364.0	21752.0	17787.0	31816.0	30628.0	21502.0	26105.0	30620.0	31355.0	34395.0	29687.0	27411.0	35019.0	33230.0	24614.0
277.92072@0.8343166	2	23615.0	41728.0	37127.0	1.0	28344.0	33385.0	37655.0	38414.0	34537.0	35817.0	1.0	34188.0	24196.0	27456.0	31332.0	33804.0	40660.0	31750.0	40775.0	32071.0	28333.0	47161.0	44738.0	40555.0	29846.0	36650.0	35455.0	42907.0	50934.0	33265.0	34429.0	34171.0	42916.0	37761.0	30003.0	39808.0	1.0	35222.0	39641.0	42224.0	45714.0	34136.0	33486.0	32930.0
451.84668@0.82926303	2	1.0	54024.0	28324.0	30864.0	33690.0	38521.0	28546.0	30451.0	35967.0	43453.0	1.0	20846.0	1.0	27708.0	38099.0	35876.0	33416.0	37521.0	62197.0	1.0	28714.0	40492.0	44152.0	49833.0	51599.0	43490.0	37033.0	50906.0	57944.0	28719.0	48314.0	34628.0	39029.0	59940.0	33802.0	49873.0	41502.0	68501.0	66789.0	57215.0	38358.0	51465.0	55345.0	52749.0
533.87665@0.8328772	2	117815.0	91864.0	91696.0	97878.0	88152.0	76358.0	97668.0	76202.0	81422.0	92785.0	130005.0	80913.0	112609.0	90928.0	98657.0	90961.0	94744.0	81065.0	83729.0	84017.0	81507.0	102002.0	98788.0	101042.0	73254.0	75665.0	89330.0	94281.0	91905.0	99838.0	102289.0	92016.0	104164.0	77634.0	92369.0	82241.0	92811.0	88004.0	88653.0	87659.0	87833.0	86635.0	84692.0	72669.0
435.87335@0.8298363	2	83495.0	30059.0	40067.0	56482.0	90970.0	30686.0	78578.0	30727.0	20750.0	49092.0	85147.0	1.0	76538.0	65893.0	96349.0	76053.0	64456.0	92383.0	24748.0	1.0	36140.0	52807.0	34756.0	28728.0	124623.0	61873.0	46032.0	56078.0	34381.0	29112.0	35281.0	58930.0	113535.0	32083.0	84875.0	81275.0	89411.0	97033.0	94535.0	83355.0	93440.0	79885.0	80244.0	69697.0
245.97134@0.83391076	2	53431.0	35371.0	1.0	57918.0	34599.0	58090.0	24308.0	64093.0	64083.0	50932.0	32406.0	21042.0	42504.0	49275.0	23094.0	47224.0	47296.0	25197.0	37494.0	65354.0	59954.0	67090.0	54950.0	1.0	29614.0	1.0	52335.0	47873.0	45178.0	68185.0	61426.0	38286.0	39693.0	39835.0	1.0	21841.0	48859.0	42371.0	22746.0	30174.0	42150.0	38409.0	1.0	18146.0
387.94632@0.8324222	2	226263.0	327462.0	367737.0	336204.0	230007.0	271968.0	238743.0	350733.0	400725.0	274112.0	196719.0	344366.0	293372.0	254543.0	182663.0	199725.0	273595.0	198236.0	267406.0	359870.0	305915.0	315938.0	325395.0	299829.0	105743.0	252460.0	284676.0	239294.0	218945.0	415852.0	298660.0	273171.0	163013.0	179116.0	209302.0	172042.0	185890.0	174481.0	178221.0	170727.0	177032.0	184356.0	157921.0	152518.0
517.90344@0.832094	2	153111.0	32712.0	69295.0	95482.0	120789.0	39428.0	121274.0	56947.0	44221.0	57505.0	183712.0	43681.0	166466.0	119012.0	111425.0	88535.0	95940.0	93160.0	22734.0	29727.0	66606.0	74479.0	57041.0	35354.0	68290.0	76029.0	65139.0	60484.0	33005.0	64843.0	42934.0	93496.0	119724.0	22089.0	106845.0	70175.0	92976.0	75860.0	69998.0	70262.0	65378.0	76988.0	73813.0	61990.0
