# Notes : Entities from the selected region(s) of the Venn diagram:
#EL2 - (EL1 ^ EL2)
#
#EL1 : FF_blank_100%
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#EL2 : FF80%_K_vs_PEX
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
# Owner : gxuser
# Created On : Fri Dec 08 11:35:43 CET 2017
Compound	Number Passed ( FF80%_K_vs_PEX )	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
164.97575@0.78412694	2	49003.0	50421.0	115228.0	61520.0	49704.0	61995.0	140741.0	133874.0	50619.0	51610.0	40539.0	153894.0	42835.0	120021.0	55023.0	162313.0	134720.0	148317.0	44622.0	154387.0	49589.0	62492.0	137853.0	187850.0	126494.0	59868.0	65107.0	55581.0	163810.0	74663.0	147677.0	118970.0	1.0	137259.0	61335.0	158899.0	74768.0	71917.0	49295.0	70767.0	179724.0	155289.0	149098.0	179147.0
90.0069@0.832797	2	155900.0	160939.0	568272.0	162854.0	118828.0	153855.0	518736.0	611828.0	123039.0	120278.0	103619.0	531398.0	159708.0	455363.0	120460.0	415990.0	512650.0	506352.0	130811.0	511859.0	146446.0	153053.0	548187.0	515547.0	383171.0	108556.0	128785.0	116611.0	441274.0	608670.0	525114.0	536834.0	115066.0	459035.0	159155.0	423024.0	137033.0	122788.0	118794.0	109218.0	466431.0	462556.0	455354.0	412693.0
242.99123@0.8332	2	68291.0	60368.0	122987.0	65708.0	47124.0	51992.0	112966.0	120204.0	1.0	52172.0	51145.0	106626.0	65563.0	105687.0	46146.0	92199.0	1.0	97028.0	48515.0	1.0	1.0	52753.0	109391.0	85349.0	61623.0	38267.0	49083.0	37593.0	70866.0	139355.0	87908.0	102810.0	47276.0	66094.0	53973.0	1.0	1.0	39002.0	42850.0	35505.0	1.0	77545.0	74986.0	74813.0
199.96645@0.8346718	2	210375.0	573995.0	1293899.0	618772.0	465822.0	408121.0	1123388.0	1299567.0	538952.0	472882.0	480511.0	356222.0	610753.0	1.0	459790.0	977898.0	348844.0	1039816.0	450319.0	891336.0	432798.0	499066.0	1204443.0	978075.0	637346.0	370801.0	476876.0	399446.0	875884.0	1473483.0	974789.0	357123.0	423302.0	842791.0	162027.0	800802.0	403752.0	1.0	390385.0	390520.0	783387.0	782943.0	785192.0	810297.0
67.97503@0.8349511	2	441429.0	424980.0	934158.0	464986.0	373520.0	406885.0	860622.0	964780.0	382098.0	399774.0	357817.0	860730.0	443956.0	1.0	369420.0	738218.0	837467.0	850626.0	380979.0	795923.0	362756.0	421890.0	877471.0	828516.0	638262.0	317840.0	391198.0	337918.0	700814.0	953302.0	807529.0	863965.0	379162.0	695476.0	407741.0	714448.0	380888.0	352091.0	355221.0	335494.0	759163.0	724415.0	749581.0	697207.0
144.0275@0.83519965	2	617558.0	522620.0	1257688.0	1.0	504139.0	522130.0	1196701.0	1331568.0	525837.0	518924.0	1.0	1265257.0	590474.0	1148646.0	461349.0	1093535.0	226135.0	1140601.0	494076.0	1077791.0	115861.0	523575.0	1174669.0	1114479.0	875205.0	413465.0	1.0	1.0	1018088.0	1391946.0	232648.0	1090661.0	125905.0	921804.0	486287.0	1007564.0	1.0	505562.0	1.0	1.0	1043769.0	924549.0	1009647.0	1021817.0
81.00659@0.8337021	1	850547.0	872280.0	3223527.0	870683.0	725620.0	826549.0	2783000.0	3233828.0	766002.0	1.0	644550.0	3423756.0	866012.0	3513984.0	663619.0	3235688.0	2812872.0	2728020.0	782815.0	2899568.0	1.0	818978.0	3188432.0	2979934.0	1.0	604110.0	740369.0	1.0	3004652.0	3342369.0	2771408.0	2902716.0	1.0	1.0	1.0	1.0	741811.0	733220.0	1.0	1.0	2560987.0	1.0	2559005.0	2948889.0
231.91605@0.83469796	2	81959.0	98140.0	163044.0	339166.0	344837.0	289599.0	730075.0	657038.0	282580.0	321827.0	88274.0	639149.0	81844.0	166819.0	322845.0	652289.0	169706.0	706132.0	85663.0	648800.0	280271.0	110505.0	176549.0	780702.0	155544.0	307457.0	335995.0	327091.0	637250.0	433674.0	690807.0	623386.0	92972.0	183890.0	307158.0	651250.0	1.0	366371.0	296614.0	104111.0	736047.0	170334.0	729353.0	650907.0
110.99951@0.83523595	1	435590.0	436993.0	1052226.0	1.0	364314.0	412216.0	921882.0	1074510.0	1.0	426897.0	333435.0	1128629.0	1.0	1160738.0	330987.0	1075595.0	900593.0	924119.0	1.0	844381.0	349049.0	402344.0	991273.0	941445.0	686232.0	292593.0	1.0	326304.0	909934.0	1097082.0	871093.0	922887.0	396558.0	866127.0	392430.0	949260.0	378249.0	352497.0	351610.0	314223.0	826463.0	796793.0	810695.0	958496.0
240.99303@0.83476895	1	806385.0	726573.0	1755703.0	805843.0	1.0	609287.0	1479854.0	1716581.0	776301.0	629557.0	607952.0	1.0	817409.0	1.0	1.0	1289138.0	1391033.0	1378143.0	580413.0	1199480.0	544460.0	639480.0	1569320.0	1258145.0	1.0	427014.0	596471.0	451227.0	990859.0	2001349.0	1.0	1470860.0	603202.0	954083.0	644608.0	1046452.0	523709.0	1.0	509642.0	1.0	1.0	1.0	1047842.0	1046966.0
