# Notes : Entities from the selected region(s) of the Venn diagram:
#EL1 ^ EL2
#
#EL1 : FF_blank_100%
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#EL2 : FF80%_K_vs_PEX
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
# Owner : gxuser
# Created On : Fri Dec 08 11:36:34 CET 2017
Compound	Number Passed ( FF_blank_100% )	Number Passed ( FF80%_K_vs_PEX )	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
139.0611@0.87304837	1	2	77802.0	71839.0	153992.0	81525.0	65520.0	82389.0	151646.0	157542.0	71067.0	78029.0	60925.0	167209.0	80673.0	151738.0	74199.0	167015.0	156426.0	153096.0	1.0	164846.0	86212.0	77177.0	159711.0	1.0	158845.0	74160.0	75487.0	75229.0	1.0	163808.0	165510.0	152034.0	76351.0	173274.0	85828.0	157067.0	86345.0	75843.0	75518.0	1.0	159561.0	154943.0	158118.0	169241.0
129.04276@0.96638435	1	1	1.0	519757.0	1181030.0	1.0	1.0	544640.0	969213.0	1071670.0	443557.0	1.0	506500.0	1098182.0	1.0	1164133.0	738216.0	1026223.0	1299941.0	1282219.0	440159.0	1.0	1.0	533777.0	1288484.0	1427875.0	706712.0	1.0	322224.0	583923.0	127538.0	1757944.0	1347218.0	1427694.0	738508.0	1042544.0	646953.0	1374144.0	664034.0	583182.0	540658.0	597729.0	1381126.0	1292168.0	1.0	156328.0
146.06969@0.9637733	1	2	293555.0	258568.0	482968.0	317525.0	90388.0	228358.0	362507.0	432768.0	1.0	1.0	220150.0	1.0	261679.0	631608.0	304092.0	642914.0	473727.0	446338.0	195345.0	1.0	259194.0	217697.0	506153.0	546787.0	273081.0	232434.0	155028.0	276855.0	1.0	684898.0	510419.0	586797.0	386883.0	1.0	266546.0	722153.0	313678.0	280654.0	258880.0	243488.0	558144.0	458349.0	486992.0	1.0
202.046@0.984403	1	2	1747843.0	1876320.0	2260874.0	1427532.0	664855.0	702991.0	1274347.0	2110317.0	1136585.0	2132942.0	484230.0	2133734.0	1723259.0	690306.0	2958619.0	2666633.0	2294415.0	5397191.0	1658819.0	1783533.0	1479296.0	611985.0	4535506.0	4219313.0	1320811.0	1660861.0	2033558.0	105822.0	2336715.0	4642411.0	2833399.0	2557924.0	1078351.0	2550057.0	2385776.0	4108287.0	2188957.0	2122826.0	1985142.0	1897868.0	4041881.0	3970696.0	4017448.0	4260187.0
161.10568@1.0161043	1	2	1.4946071E7	1.6428013E7	2.751556E7	1.4733684E7	1.5095388E7	1.8650766E7	1.6873754E7	2.5688082E7	1.1619967E7	1.285925E7	1.1924346E7	2.2146794E7	1.492104E7	2.1529204E7	1.072989E7	2.5663708E7	2.2424516E7	2.5651402E7	1.4260189E7	2.7862558E7	1.306874E7	1.6657526E7	2.5193784E7	2.2923512E7	2.8732606E7	1.5609458E7	1.4094414E7	1.8166624E7	2.781765E7	2.6110368E7	2.8644058E7	1.9742758E7	1.1755181E7	2.2499448E7	1.168067E7	2.0822872E7	1.1585477E7	1.1133486E7	1.0583973E7	1.0652757E7	2.0924202E7	2.0491478E7	2.0600148E7	2.0839794E7
131.09464@1.0359701	1	2	4455629.0	2852193.0	5535305.0	3149598.0	1777139.0	3234208.0	5713628.0	5209270.0	4798912.0	3779812.0	3448099.0	7529955.0	2642425.0	7117756.0	2890480.0	7480859.0	4801255.0	4191834.0	5835329.0	7398125.0	4979711.0	2612207.0	7683223.0	8835218.0	4012408.0	1997074.0	3601469.0	5221917.0	8929421.0	5756463.0	7036919.0	1.3516816E7	4745665.0	6482092.0	2320236.0	4351838.0	1969659.0	2048984.0	1975079.0	2007196.0	4213074.0	3730146.0	4021574.0	4050098.0
131.06969@1.0823432	1	2	1.253743E7	2.1577782E7	2.9789704E7	1.854097E7	1.2557122E7	2.5730134E7	2.879882E7	3.4143692E7	1.5819811E7	1.8388678E7	1.3100337E7	1.9946488E7	1.4015902E7	2.3503318E7	1.561495E7	3.16121E7	2.3523284E7	1.5727845E7	1.4983275E7	3.1863638E7	1.9278524E7	1.655429E7	2.8531502E7	2.5567584E7	2.3140616E7	2.1663676E7	1.7256844E7	1.9939324E7	2.7974234E7	3.3023088E7	2.7836724E7	2.6036082E7	1.6012391E7	3.3180066E7	1.5436819E7	2.9038164E7	1.7870488E7	1.7131712E7	1.6466238E7	1.747702E7	2.888696E7	2.7342496E7	2.7732872E7	2.8290326E7
143.09482@1.1116419	1	2	1841660.0	1977196.0	904778.0	2595236.0	1518999.0	542341.0	8623579.0	4272901.0	469929.0	4848200.0	3692968.0	1.412732E7	8480629.0	1.0939102E7	6228530.0	5867734.0	2.6274064E7	3.3899784E7	2.4751388E7	1263933.0	2.0260008E7	9853850.0	436329.0	1164698.0	1190203.0	336841.0	399847.0	267321.0	727374.0	1.4155604E7	2636223.0	2.7952422E7	275773.0	1.4704345E7	574366.0	1075293.0	576813.0	558926.0	544116.0	523216.0	1086138.0	1004537.0	1078426.0	1088817.0
175.12115@1.065712	1	2	60240.0	46243.0	378156.0	274183.0	53936.0	257948.0	221617.0	110775.0	111741.0	241689.0	59192.0	129737.0	515805.0	199088.0	1101108.0	200013.0	412126.0	717455.0	163919.0	1.0	351257.0	70443.0	763569.0	117104.0	65051.0	154249.0	257160.0	442840.0	437354.0	442839.0	129935.0	167096.0	298158.0	296496.0	218177.0	204957.0	106909.0	301165.0	109112.0	218140.0	548610.0	226722.0	213737.0	393669.0
181.07463@1.206469	1	2	1646581.0	2668657.0	3450047.0	3290587.0	2256225.0	3321322.0	4530631.0	4211241.0	1928856.0	4172626.0	1987204.0	5683971.0	2892805.0	6100029.0	2282902.0	4942533.0	7461296.0	4888273.0	2490633.0	6989170.0	3099502.0	1812538.0	4225945.0	1534477.0	2891875.0	2194231.0	2280209.0	1480785.0	2841990.0	5282181.0	6112496.0	4225219.0	2498068.0	7178821.0	2016703.0	4128834.0	2070479.0	1938857.0	1915470.0	1777420.0	3454531.0	3191040.0	3260946.0	4193295.0
