# Notes : Entity List : FF_QC80percent_noBlank
#Interpretation : K_PEX 
#Experiment : AH_ZicHilic_negative
#Flag Value: [Present]
#Entities where at least 80.0 percent of samples in any 1 out of 3 conditions have flags in [Present]
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_ZicHilic_negative_2017_Aug_03_15_15_25
# Owner : gxuser
# Created On : Fri May 18 16:00:57 CEST 2018
Compound	Number Passed	K_2(raw)	K_3(raw)	K_6(raw)	K_10(raw)	K_17(raw)	K_19(raw)	K_21(raw)	K_22(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_8(raw)	PEX_30(raw)	PEX_34(raw)	PEX_69(raw)	PEX_84(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	QC_1(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)	QC_10(raw)
280.17026@2.4560812	1	358276.0	1.0	261268.0	171878.0	125257.0	1.0	349903.0	116304.0	1.0	229260.0	1.0	89284.0	81968.0	54254.0	142863.0	61076.0	1.0	92396.0	1.0	142226.0	153308.0	80370.0	1.0	92903.0	1.0	1.0	1.0	1.0	70235.0	1.0	80482.0	40858.0	1.0	239680.0	82022.0	77795.0	84670.0	79234.0	68522.0	77700.0	64952.0	68648.0	62927.0	68115.0
310.1803@2.4654996	3	372766.0	111847.0	110639.0	1205299.0	111529.0	91414.0	290816.0	370734.0	78153.0	161598.0	155780.0	2106025.0	209466.0	134600.0	1013408.0	155859.0	1.0	255021.0	196599.0	1196894.0	924464.0	123803.0	114376.0	1.0	121550.0	135706.0	1.0	95888.0	365076.0	109787.0	185360.0	211265.0	287221.0	195292.0	143585.0	1460312.0	174431.0	146600.0	130464.0	145393.0	1.0	132906.0	120098.0	129292.0
266.1547@2.4659674	3	979833.0	315160.0	371019.0	598509.0	449705.0	352640.0	976374.0	972281.0	1.0	529121.0	444174.0	871583.0	892782.0	413800.0	2129595.0	397904.0	413318.0	732140.0	540084.0	2129818.0	428809.0	432725.0	362462.0	694889.0	342877.0	451201.0	1.0	284850.0	883739.0	306024.0	599169.0	719859.0	676552.0	856888.0	673667.0	595963.0	670750.0	641881.0	549811.0	697301.0	544803.0	531562.0	521043.0	536648.0
696.1024@2.6333706	3	200857.0	197461.0	162613.0	232259.0	253697.0	202230.0	159637.0	269541.0	187594.0	205315.0	274206.0	253313.0	153576.0	263725.0	146319.0	142211.0	217524.0	221557.0	220611.0	210083.0	173777.0	230434.0	207048.0	145863.0	268248.0	243924.0	216093.0	194486.0	179167.0	210238.0	196943.0	195890.0	165813.0	189224.0	235221.0	240651.0	260208.0	233000.0	190601.0	243395.0	166939.0	175562.0	171343.0	1.0
677.1069@2.7122958	1	114982.0	156062.0	112275.0	160008.0	147503.0	1.0	138205.0	1.0	1.0	139819.0	160881.0	1.0	122277.0	1.0	124761.0	120783.0	150718.0	1.0	1.0	1.0	1.0	1.0	134073.0	128533.0	168637.0	151270.0	143830.0	152398.0	1.0	154863.0	121175.0	181360.0	1.0	155829.0	136179.0	156852.0	137299.0	1.0	133326.0	149584.0	120126.0	132289.0	128013.0	125321.0
768.1495@2.7273147	2	152967.0	139428.0	125893.0	160321.0	151455.0	1.0	137422.0	167931.0	134342.0	140847.0	165827.0	160430.0	136200.0	184595.0	162660.0	124251.0	159473.0	1.0	160703.0	140505.0	1.0	147499.0	1.0	1.0	172321.0	146859.0	134898.0	159277.0	97705.0	169368.0	150326.0	183454.0	134771.0	1.0	148176.0	152441.0	137456.0	192966.0	128257.0	161190.0	1.0	130093.0	127123.0	123155.0
272.23495@2.8257647	1	25404.0	1.0	1.0	1.0	1.0	22533.0	27510.0	1.0	1.0	1.0	1.0	1.0	38235.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	39262.0	1.0	1.0	1.0	1.0	1.0	77571.0	75505.0	77877.0	79698.0	66732.0	67090.0	58462.0	66899.0	56956.0	52175.0
584.2633@2.843038	1	1.0	1.0	159564.0	1.0	1.0	142800.0	205871.0	1.0	1.0	118804.0	64283.0	1.0	1.0	1.0	1.0	349176.0	1.0	113082.0	1.0	51772.0	110826.0	379072.0	1.0	1.0	1.0	139983.0	1.0	1.0	139847.0	1.0	1.0	58133.0	1.0	1.0	72873.0	70524.0	65057.0	73647.0	69960.0	1.0	60309.0	64855.0	63209.0	62465.0
222.1616@2.848793	3	141953.0	189619.0	182860.0	116840.0	154543.0	1.0	92920.0	126657.0	118560.0	128643.0	73226.0	185872.0	232289.0	73930.0	123648.0	169529.0	131738.0	1.0	209652.0	115158.0	105276.0	97811.0	145309.0	236535.0	108954.0	101416.0	178145.0	110401.0	115064.0	137836.0	149092.0	93968.0	281088.0	144197.0	80574.0	117630.0	78361.0	116821.0	107286.0	108060.0	1.0	109982.0	108803.0	105570.0
251.02669@2.839812	2	81810.0	134662.0	80890.0	81044.0	115956.0	306130.0	409755.0	209551.0	108198.0	178156.0	192467.0	152086.0	1.0	1.0	1.0	103711.0	140993.0	275153.0	1.0	54210.0	123768.0	98655.0	84130.0	1.0	86076.0	458322.0	47276.0	237681.0	309881.0	94200.0	43720.0	282550.0	122900.0	67137.0	290267.0	307408.0	322639.0	304738.0	319557.0	319332.0	301197.0	328450.0	260437.0	319571.0
