# Notes : Entity List : FF_QC80percent_noBlank
#Interpretation : Samples
#Experiment : AH_ZicHilic_negative
#Flag Value: [Present]
#Entities where at least 80.0 percent of samples in any 1 out of 4 conditions have flags in [Present]
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_ZicHilic_negative_2017_Aug_03_15_15_25
# Owner : gxuser
# Created On : Fri Aug 04 08:20:47 CEST 2017
Compound	Number Passed	DM_4(raw)	DM_44(raw)	DM_46(raw)	DM_58(raw)	DM_72(raw)	DM_74(raw)	DM_76(raw)	DM_82(raw)	DM_86(raw)	DM_89(raw)	DM_94(raw)	DM_99(raw)	DM_302(raw)	DM_303(raw)	DM_305(raw)	DM_316(raw)	K_2(raw)	K_3(raw)	K_6(raw)	K_10(raw)	K_17(raw)	K_19(raw)	K_21(raw)	K_22(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_8(raw)	PEX_30(raw)	PEX_34(raw)	PEX_69(raw)	PEX_84(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_41(raw)	PEX_98(raw)	PEX_315(raw)	PEX_319(raw)	QC_1(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)	QC_10(raw)
310.1803@2.4654996	3	92171.0	1.0	92792.0	119535.0	594509.0	1.0	237138.0	148472.0	293400.0	476116.0	195583.0	134832.0	1.0	403674.0	145416.0	119139.0	372766.0	111847.0	110639.0	1205299.0	111529.0	91414.0	290816.0	370734.0	78153.0	161598.0	155780.0	2106025.0	209466.0	134600.0	1013408.0	155859.0	1.0	255021.0	196599.0	1196894.0	924464.0	123803.0	114376.0	1.0	121550.0	135706.0	1.0	95888.0	365076.0	109787.0	185360.0	211265.0	287221.0	195292.0	1581543.0	1.0	1605763.0	113750.0	143585.0	1460312.0	174431.0	146600.0	130464.0	145393.0	1.0	132906.0	120098.0	129292.0
266.1547@2.4659674	4	264752.0	263726.0	345101.0	349862.0	1290916.0	1.0	737365.0	566777.0	748820.0	1524646.0	569008.0	983702.0	344125.0	1384912.0	413884.0	354672.0	979833.0	315160.0	371019.0	598509.0	449705.0	352640.0	976374.0	972281.0	1.0	529121.0	444174.0	871583.0	892782.0	413800.0	2129595.0	397904.0	413318.0	732140.0	540084.0	2129818.0	428809.0	432725.0	362462.0	694889.0	342877.0	451201.0	1.0	284850.0	883739.0	306024.0	599169.0	719859.0	676552.0	856888.0	465847.0	308935.0	394131.0	337337.0	673667.0	595963.0	670750.0	641881.0	549811.0	697301.0	544803.0	531562.0	521043.0	536648.0
696.1024@2.6333706	4	229507.0	227845.0	183893.0	271023.0	236420.0	186762.0	221556.0	190535.0	222181.0	310570.0	249715.0	278603.0	158305.0	1.0	200252.0	345020.0	200857.0	197461.0	162613.0	232259.0	253697.0	202230.0	159637.0	269541.0	187594.0	205315.0	274206.0	253313.0	153576.0	263725.0	146319.0	142211.0	217524.0	221557.0	220611.0	210083.0	173777.0	230434.0	207048.0	145863.0	268248.0	243924.0	216093.0	194486.0	179167.0	210238.0	196943.0	195890.0	165813.0	189224.0	222131.0	182296.0	344198.0	232650.0	235221.0	240651.0	260208.0	233000.0	190601.0	243395.0	166939.0	175562.0	171343.0	1.0
768.1495@2.7273147	2	185005.0	147124.0	1.0	167099.0	166286.0	149727.0	1.0	128695.0	1.0	1.0	156942.0	160222.0	154949.0	114242.0	1.0	174809.0	152967.0	139428.0	125893.0	160321.0	151455.0	1.0	137422.0	167931.0	134342.0	140847.0	165827.0	160430.0	136200.0	184595.0	162660.0	124251.0	159473.0	1.0	160703.0	140505.0	1.0	147499.0	1.0	1.0	172321.0	146859.0	134898.0	159277.0	97705.0	169368.0	150326.0	183454.0	134771.0	1.0	155180.0	148376.0	155315.0	156576.0	148176.0	152441.0	137456.0	192966.0	128257.0	161190.0	1.0	130093.0	127123.0	123155.0
222.1616@2.848793	3	167896.0	114296.0	66739.0	117603.0	186844.0	105526.0	168038.0	296088.0	130986.0	65753.0	98617.0	1.0	1.0	347853.0	156326.0	103213.0	141953.0	189619.0	182860.0	116840.0	154543.0	1.0	92920.0	126657.0	118560.0	128643.0	73226.0	185872.0	232289.0	73930.0	123648.0	169529.0	131738.0	1.0	209652.0	115158.0	105276.0	97811.0	145309.0	236535.0	108954.0	101416.0	178145.0	110401.0	115064.0	137836.0	149092.0	93968.0	281088.0	144197.0	1.0	119964.0	83802.0	96106.0	80574.0	117630.0	78361.0	116821.0	107286.0	108060.0	1.0	109982.0	108803.0	105570.0
251.02669@2.839812	1	1.0	199370.0	155450.0	1.0	87087.0	1.0	77037.0	1.0	1.0	1.0	1.0	1.0	70574.0	1.0	137353.0	62915.0	81810.0	134662.0	80890.0	81044.0	115956.0	306130.0	409755.0	209551.0	108198.0	178156.0	192467.0	152086.0	1.0	1.0	1.0	103711.0	140993.0	275153.0	1.0	54210.0	123768.0	98655.0	84130.0	1.0	86076.0	458322.0	47276.0	237681.0	309881.0	94200.0	43720.0	282550.0	122900.0	67137.0	190305.0	1.0	231901.0	1.0	290267.0	307408.0	322639.0	304738.0	319557.0	319332.0	301197.0	328450.0	260437.0	319571.0
188.01459@2.8704922	4	2442789.0	1.1068804E7	1.0180193E7	1.4049347E7	8055682.0	5297228.0	5097189.0	5988050.0	1.0078047E7	1911269.0	422039.0	3356706.0	1033172.0	4593917.0	1904173.0	2826324.0	3277524.0	4829258.0	5889999.0	6999946.0	2338679.0	381913.0	1.4536592E7	4243178.0	2617499.0	7082649.0	4063186.0	5179407.0	3187614.0	4775934.0	3169702.0	9640543.0	940585.0	1.4138512E7	4582341.0	4324382.0	3154501.0	87550.0	4024826.0	2767698.0	3094338.0	1.9360182E7	3457900.0	3194116.0	3.150527E7	3122181.0	2747070.0	3342317.0	3195374.0	2476808.0	3294866.0	3735204.0	1.867368E7	1.0698113E7	7212984.0	7347545.0	7686800.0	7654329.0	7001779.0	7584553.0	6813164.0	6697024.0	6230809.0	6572916.0
108.05724@2.8729079	3	1.0	997587.0	961758.0	1301593.0	748018.0	504264.0	536618.0	583023.0	871314.0	1.0	1.0	316122.0	1.0	477956.0	1.0	267736.0	331415.0	458492.0	540760.0	643824.0	1.0	1.0	1323047.0	403376.0	241039.0	639546.0	371274.0	468949.0	318246.0	460846.0	333872.0	891332.0	1.0	1268429.0	422329.0	414801.0	305456.0	1.0	479772.0	268493.0	299264.0	1691380.0	374127.0	291906.0	2661451.0	1.0	266723.0	330138.0	315945.0	248871.0	301350.0	367102.0	1563575.0	918538.0	767673.0	668721.0	746490.0	724241.0	688724.0	732511.0	658025.0	633979.0	626961.0	636069.0
308.1987@2.880115	4	285025.0	187057.0	328653.0	43917.0	137700.0	319922.0	320426.0	206873.0	209167.0	137936.0	254386.0	343929.0	223989.0	642936.0	349012.0	156109.0	411912.0	411507.0	534268.0	132504.0	254147.0	1.0	49513.0	289826.0	282170.0	377534.0	333120.0	284059.0	652640.0	345412.0	560949.0	145455.0	477631.0	210727.0	168723.0	287192.0	82469.0	125792.0	602234.0	36745.0	178734.0	113582.0	286989.0	283704.0	1.0	186029.0	654496.0	97019.0	1.0	413023.0	176534.0	308644.0	188510.0	88337.0	281811.0	283256.0	287679.0	314326.0	314000.0	309505.0	325341.0	228626.0	321665.0	346983.0
245.06065@2.879948	3	110655.0	1.0	1.0	96794.0	59610.0	91844.0	62665.0	85344.0	46075.0	61796.0	114269.0	98818.0	97237.0	97352.0	102176.0	57231.0	102566.0	82276.0	1.0	55322.0	55583.0	117483.0	55064.0	107855.0	1.0	115790.0	78955.0	43101.0	83734.0	99515.0	107999.0	74468.0	1.0	79175.0	58019.0	116158.0	63400.0	97644.0	64087.0	108333.0	83220.0	79221.0	79055.0	88368.0	1.0	1.0	74765.0	104403.0	98491.0	104022.0	83544.0	91368.0	1.0	98692.0	114808.0	59102.0	49845.0	52609.0	94757.0	106359.0	90292.0	80481.0	47696.0	53774.0
