# Notes : Entity List : FF_QC80percent_noBlank
#Interpretation : Samples
#Experiment : AH_ZicHilic_positive
#Flag Value: [Present]
#Entities where at least 80.0 percent of samples in any 1 out of 4 conditions have flags in [Present]
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_ZicHilic_positive_2017_Aug_02_10_28_46
# Owner : gxuser
# Created On : Wed Aug 02 11:22:13 CEST 2017
Compound	Number Passed	DM_302(raw)	DM_303(raw)	DM_305(raw)	DM_316(raw)	DM_4(raw)	DM_44(raw)	DM_46(raw)	DM_58(raw)	DM_72(raw)	DM_74(raw)	DM_76(raw)	DM_82(raw)	DM_86(raw)	DM_89(raw)	DM_94(raw)	DM_99(raw)	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	PEX_41(raw)	PEX_98(raw)	PEX_315(raw)	PEX_319(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
390.2775@2.7595754	4	1701660.0	3476539.0	1499511.0	1648499.0	1708181.0	1098871.0	1468100.0	1506630.0	2414989.0	1922211.0	1258598.0	3435641.0	1265909.0	1222843.0	1480273.0	1307372.0	1244771.0	1947182.0	1220109.0	1981361.0	1379140.0	1562255.0	2293186.0	1146455.0	1800930.0	1475951.0	1861760.0	3428112.0	1315984.0	1240403.0	1283959.0	1552182.0	1582235.0	1490310.0	1424680.0	1232764.0	1183557.0	1186893.0	1346461.0	1713341.0	1367873.0	3579073.0	2188814.0	1657780.0	3086570.0	1479166.0	1368165.0	1548001.0	1498362.0	2705835.0	1484080.0	1294860.0	1399980.0	1321292.0	857449.0	689680.0	691823.0	769944.0	650140.0	755673.0	680150.0	724015.0	678892.0	682236.0
535.15796@2.7744	4	466024.0	297785.0	453067.0	239652.0	351819.0	322870.0	289211.0	388381.0	495927.0	1.0	631546.0	1.0	403521.0	343525.0	279452.0	347327.0	368462.0	223930.0	274557.0	338913.0	408316.0	310742.0	298944.0	258358.0	333411.0	198277.0	276511.0	397499.0	495068.0	961351.0	322843.0	495096.0	301915.0	1.0	481392.0	318817.0	529248.0	347000.0	1.0	523872.0	333207.0	529472.0	408712.0	268274.0	422896.0	364520.0	327697.0	319048.0	359628.0	527384.0	208149.0	267610.0	327481.0	300777.0	311597.0	234385.0	280658.0	272316.0	303685.0	287534.0	264325.0	282946.0	282743.0	214843.0
387.04202@2.796575	4	647112.0	777858.0	674946.0	593214.0	567575.0	739720.0	658915.0	820969.0	761614.0	871705.0	633030.0	795183.0	575546.0	653194.0	752244.0	789209.0	846027.0	659213.0	599563.0	636894.0	677721.0	715512.0	778482.0	724142.0	826695.0	746322.0	729525.0	705859.0	613290.0	861884.0	730309.0	749611.0	716131.0	698434.0	900745.0	732479.0	712178.0	741207.0	655230.0	972555.0	752342.0	588348.0	838676.0	707672.0	789235.0	781331.0	858482.0	658066.0	671648.0	706529.0	728891.0	890351.0	699715.0	736336.0	425851.0	429387.0	402204.0	399127.0	411523.0	399909.0	388705.0	381924.0	394340.0	450113.0
280.24048@2.8021667	2	78159.0	1.0	1.0	113731.0	1.0	72589.0	90084.0	1.0	1.0	1.0	1.0	640374.0	1.0	135686.0	77810.0	1.0	108600.0	105353.0	129431.0	150814.0	198741.0	104140.0	1.0	92560.0	204929.0	92187.0	106684.0	124784.0	113201.0	1.0	86209.0	1.0	94277.0	119516.0	98334.0	1.0	99890.0	111998.0	1.0	86566.0	352419.0	358927.0	101184.0	95601.0	144172.0	97540.0	102540.0	133717.0	118252.0	1.0	135419.0	81663.0	87594.0	1.0	137380.0	155470.0	128509.0	138457.0	160022.0	148522.0	173849.0	170587.0	155229.0	158162.0
601.1928@2.8154545	4	190098.0	307259.0	144052.0	138056.0	350294.0	180650.0	133063.0	242663.0	313187.0	228231.0	202190.0	318684.0	210038.0	178095.0	251373.0	217150.0	257253.0	200570.0	247961.0	157110.0	171496.0	143383.0	149437.0	202756.0	219913.0	194990.0	165757.0	262911.0	269013.0	334222.0	229910.0	221015.0	264556.0	154013.0	271325.0	212054.0	301678.0	315566.0	146016.0	243110.0	244219.0	159601.0	278461.0	166312.0	170184.0	200674.0	182723.0	325133.0	301413.0	267031.0	159732.0	279382.0	168793.0	236278.0	84013.0	84029.0	85056.0	77471.0	76527.0	77563.0	76030.0	82297.0	93228.0	99916.0
584.2626@2.8232005	4	1594916.0	88773.0	367640.0	74728.0	144148.0	104553.0	88927.0	503204.0	169712.0	116961.0	365167.0	292686.0	314258.0	1.0	114867.0	137423.0	272129.0	156804.0	819956.0	324081.0	1698355.0	350019.0	281075.0	311705.0	675437.0	349191.0	157866.0	227333.0	196396.0	820440.0	175460.0	2417596.0	171166.0	880377.0	169383.0	691630.0	82171.0	896692.0	226605.0	281853.0	1074208.0	118200.0	1.0	345176.0	1.0	1.0	2283501.0	200462.0	247515.0	148355.0	828516.0	440604.0	135323.0	471911.0	363156.0	357936.0	393445.0	406953.0	391307.0	369308.0	392387.0	365020.0	358906.0	385076.0
422.19183@2.834593	4	128400.0	216035.0	115083.0	139212.0	1.0	145719.0	147191.0	1.0	97114.0	135563.0	155054.0	175610.0	157985.0	167177.0	247239.0	140268.0	211510.0	177003.0	1.0	1.0	63784.0	182599.0	150367.0	96626.0	207846.0	138809.0	185986.0	217497.0	98737.0	97156.0	169327.0	139349.0	164643.0	110878.0	260619.0	113818.0	53363.0	96245.0	139361.0	186283.0	142877.0	125866.0	192084.0	110799.0	156004.0	125145.0	203616.0	357455.0	93388.0	222593.0	135001.0	190951.0	177837.0	163941.0	161478.0	148277.0	131224.0	165034.0	148626.0	1.0	142611.0	149581.0	154804.0	143950.0
171.10889@2.8360307	4	3205724.0	4046667.0	2794826.0	3025519.0	3991671.0	3266017.0	2859683.0	3510543.0	4158393.0	3320285.0	3149955.0	3739856.0	3536579.0	3276251.0	4015055.0	3317416.0	3570426.0	3789965.0	3598448.0	3178599.0	3353258.0	3065086.0	3417044.0	3357424.0	3814443.0	3486643.0	3685468.0	4584984.0	3603208.0	4942426.0	4028981.0	3294040.0	3989975.0	3082781.0	4460943.0	3098870.0	3730255.0	3753362.0	3309316.0	3652653.0	3385684.0	2667638.0	3957308.0	3094927.0	2645036.0	2816682.0	4180656.0	1.0916427E7	4187853.0	4338626.0	3366115.0	3975005.0	3580567.0	2892896.0	2569119.0	2486404.0	2355630.0	2400798.0	2469156.0	2462554.0	2487333.0	2469369.0	2688893.0	2499840.0
355.07004@2.8312764	4	384902.0	472380.0	365495.0	325135.0	361177.0	387882.0	369846.0	409640.0	364192.0	410809.0	368001.0	425022.0	337095.0	324261.0	391141.0	433480.0	458865.0	425479.0	413029.0	368615.0	301909.0	348408.0	443696.0	351647.0	432958.0	425070.0	398337.0	488653.0	384074.0	377981.0	339315.0	455916.0	449222.0	390409.0	472362.0	387988.0	346562.0	356190.0	339913.0	465294.0	412906.0	372154.0	431918.0	365652.0	471365.0	419301.0	443223.0	677705.0	306961.0	427875.0	405946.0	465972.0	349677.0	369730.0	234528.0	231578.0	215603.0	223036.0	232212.0	222257.0	221215.0	217236.0	218063.0	239533.0
206.16737@2.8398852	3	449743.0	490129.0	436201.0	448244.0	528935.0	428930.0	321842.0	462948.0	566165.0	450184.0	482839.0	1.0	420479.0	522390.0	563894.0	552522.0	470662.0	494613.0	441533.0	398833.0	407669.0	1.0	395504.0	488510.0	482424.0	396556.0	466044.0	581784.0	510570.0	599174.0	450578.0	423475.0	535440.0	406757.0	506133.0	425882.0	553369.0	513373.0	389866.0	550491.0	371609.0	443121.0	491092.0	509581.0	1.0	465336.0	533296.0	430403.0	608994.0	533414.0	1.0	559045.0	467535.0	428799.0	1.0	332014.0	352576.0	326548.0	323064.0	302700.0	284974.0	328786.0	323880.0	331504.0
